Ride_Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Ride_Revenue,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images,Ride Month,Ride Day,Cancellation Flag,Ride_Date_Clean
7/29/2024,11:33:00 PM,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,35,55,NULL,NULL,No,NULL,164,Cash,46,4.5,3,#NAME?,Jul,Mon,0,7/29/2024
7/26/2024,4:03:00 AM,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238,95,NULL,NULL,No,NULL,399,Cash,18,3.9,4,#NAME?,Jul,Fri,0,7/26/2024
7/27/2024,1:18:00 PM,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,126,35,NULL,NULL,No,NULL,330,UPI,8,3,5,#NAME?,Jul,Sat,0,7/27/2024
7/17/2024,6:55:00 PM,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,427,NULL,0,0,0,#NAME?,Jul,Wed,1,7/17/2024
7/16/2024,9:54:00 AM,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,70,95,NULL,NULL,No,NULL,378,UPI,18,4.8,4,#NAME?,Jul,Tue,0,7/16/2024
7/2/2024,10:25:00 AM,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,126,95,NULL,NULL,No,NULL,343,UPI,23,3.7,4,#NAME?,Jul,Tue,0,7/2/2024
7/2/2024,11:50:00 PM,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,NULL,NULL,NULL,NULL,NULL,NULL,366,NULL,0,0,0,#NAME?,Jul,Tue,1,7/2/2024
7/5/2024,11:42:00 PM,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,140,40,NULL,NULL,No,NULL,401,Cash,8,3.3,4,#NAME?,Jul,Fri,0,7/5/2024
7/9/2024,11:11:00 AM,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,42,30,NULL,NULL,No,NULL,343,UPI,17,3,4,#NAME?,Jul,Tue,0,7/9/2024
7/12/2024,2:44:00 PM,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,NULL,NULL,No,NULL,2014,Cash,33,4.2,5,#NAME?,Jul,Fri,0,7/12/2024
7/11/2024,8:42:00 PM,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,NULL,NULL,No,NULL,650,Cash,34,4.9,3,#NAME?,Jul,Thu,0,7/11/2024
7/8/2024,10:33:00 PM,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,NULL,NULL,No,NULL,231,Cash,2,3.2,4,#NAME?,Jul,Mon,0,7/8/2024
7/16/2024,10:17:00 AM,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,NULL,NULL,NULL,Customer was coughing/sick,NULL,NULL,909,NULL,0,0,0,#NAME?,Jul,Tue,1,7/16/2024
7/3/2024,6:20:00 PM,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,NULL,NULL,No,NULL,189,Cash,6,4.9,3,#NAME?,Jul,Wed,0,7/3/2024
7/3/2024,9:17:00 PM,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,NULL,NULL,No,NULL,311,Cash,28,4.3,3,#NAME?,Jul,Wed,0,7/3/2024
7/19/2024,9:18:00 PM,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,NULL,NULL,No,NULL,286,UPI,44,4,3,#NAME?,Jul,Fri,0,7/19/2024
7/25/2024,3:44:00 AM,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,NULL,NULL,No,NULL,141,UPI,35,4.7,3,#NAME?,Jul,Thu,0,7/25/2024
7/15/2024,5:11:00 PM,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,NULL,NULL,No,NULL,214,UPI,2,3.3,4,#NAME?,Jul,Mon,0,7/15/2024
7/30/2024,7:44:00 PM,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,NULL,NULL,No,NULL,2183,Cash,20,4,4,#NAME?,Jul,Tue,0,7/30/2024
7/21/2024,8:26:00 AM,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,NULL,NULL,Driver asked to cancel,NULL,NULL,NULL,604,NULL,0,0,0,#NAME?,Jul,Sun,1,7/21/2024
7/23/2024,7:04:00 AM,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,NULL,NULL,NULL,NULL,NULL,NULL,802,NULL,0,0,0,#NAME?,Jul,Tue,1,7/23/2024
7/27/2024,6:18:00 AM,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,NULL,NULL,No,NULL,1095,Cash,38,4.8,5,#NAME?,Jul,Sat,0,7/27/2024
7/23/2024,10:17:00 AM,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,NULL,NULL,Driver is not moving towards pickup location,NULL,NULL,NULL,120,NULL,0,0,0,#NAME?,Jul,Tue,1,7/23/2024
7/23/2024,12:56:00 PM,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,NULL,NULL,No,NULL,241,Cash,33,3.2,4,#NAME?,Jul,Tue,0,7/23/2024
7/8/2024,11:52:00 AM,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,NULL,NULL,No,NULL,475,Cash,45,4.3,3,#NAME?,Jul,Mon,0,7/8/2024
7/14/2024,5:25:00 AM,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,NULL,NULL,No,NULL,461,UPI,49,4.5,3,#NAME?,Jul,Sun,0,7/14/2024
7/23/2024,9:33:00 AM,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,NULL,NULL,NULL,Customer related issue,NULL,NULL,783,NULL,0,0,0,#NAME?,Jul,Tue,1,7/23/2024
7/3/2024,4:16:00 PM,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,NULL,NULL,NULL,Customer was coughing/sick,NULL,NULL,995,NULL,0,0,0,#NAME?,Jul,Wed,1,7/3/2024
7/3/2024,12:58:00 AM,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,NULL,NULL,Yes,Customer Demand,1102,UPI,41,3.1,4,#NAME?,Jul,Wed,0,7/3/2024
7/24/2024,5:31:00 PM,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,NULL,NULL,NULL,Customer related issue,NULL,NULL,170,NULL,0,0,0,#NAME?,Jul,Wed,1,7/24/2024
7/10/2024,9:56:00 PM,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,NULL,NULL,No,NULL,444,UPI,6,3.8,5,#NAME?,Jul,Wed,0,7/10/2024
7/20/2024,3:30:00 PM,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,NULL,NULL,NULL,Customer related issue,NULL,NULL,1130,NULL,0,0,0,#NAME?,Jul,Sat,1,7/20/2024
7/11/2024,3:22:00 AM,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,NULL,NULL,No,NULL,876,Cash,21,4.7,3,#NAME?,Jul,Thu,0,7/11/2024
7/6/2024,3:02:00 PM,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,NULL,NULL,No,NULL,680,UPI,24,4.7,4,#NAME?,Jul,Sat,0,7/6/2024
7/5/2024,8:28:00 PM,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,NULL,NULL,No,NULL,425,Cash,11,3.5,5,#NAME?,Jul,Fri,0,7/5/2024
7/11/2024,11:28:00 AM,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,NULL,NULL,No,NULL,989,Cash,4,4.5,4,#NAME?,Jul,Thu,0,7/11/2024
7/16/2024,4:25:00 PM,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,NULL,NULL,NULL,NULL,NULL,NULL,594,NULL,0,0,0,#NAME?,Jul,Tue,1,7/16/2024
7/12/2024,6:02:00 PM,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,NULL,NULL,No,NULL,443,Cash,5,3.4,3,#NAME?,Jul,Fri,0,7/12/2024
7/16/2024,10:35:00 PM,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,NULL,NULL,No,NULL,721,Cash,19,3.8,5,#NAME?,Jul,Tue,0,7/16/2024
7/26/2024,1:20:00 PM,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,NULL,NULL,Yes,Vehicle Breakdown,2936,Cash,34,4.1,5,#NAME?,Jul,Fri,0,7/26/2024
7/25/2024,3:33:00 AM,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,NULL,NULL,No,NULL,747,Cash,25,5,4,#NAME?,Jul,Thu,0,7/25/2024
7/17/2024,3:30:00 AM,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,NULL,NULL,No,NULL,799,UPI,25,3.9,5,#NAME?,Jul,Wed,0,7/17/2024
7/7/2024,5:59:00 AM,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,NULL,NULL,No,NULL,300,Cash,14,3.3,5,#NAME?,Jul,Sun,0,7/7/2024
7/1/2024,2:21:00 AM,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,NULL,NULL,NULL,NULL,NULL,NULL,162,NULL,0,0,0,#NAME?,Jul,Mon,1,7/1/2024
7/1/2024,2:45:00 AM,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,NULL,NULL,No,NULL,618,UPI,30,3.5,4,#NAME?,Jul,Mon,0,7/1/2024
7/2/2024,4:17:00 AM,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,NULL,NULL,No,NULL,251,UPI,9,5,4,#NAME?,Jul,Tue,0,7/2/2024
7/13/2024,2:27:00 AM,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,NULL,NULL,NULL,More than permitted people in there,NULL,NULL,543,NULL,0,0,0,#NAME?,Jul,Sat,1,7/13/2024
7/25/2024,10:57:00 AM,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,NULL,NULL,No,NULL,724,Cash,11,4.5,5,#NAME?,Jul,Thu,0,7/25/2024
7/18/2024,12:37:00 AM,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,NULL,NULL,No,NULL,316,UPI,27,3.1,5,#NAME?,Jul,Thu,0,7/18/2024
7/22/2024,1:08:00 PM,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,NULL,NULL,No,NULL,138,UPI,24,5,3,#NAME?,Jul,Mon,0,7/22/2024
7/15/2024,7:21:00 AM,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,NULL,NULL,No,NULL,467,Cash,24,4.5,4,#NAME?,Jul,Mon,0,7/15/2024
7/19/2024,10:29:00 AM,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,NULL,NULL,NULL,NULL,NULL,NULL,565,NULL,0,0,0,#NAME?,Jul,Fri,1,7/19/2024
7/7/2024,4:56:00 PM,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,NULL,NULL,NULL,More than permitted people in there,NULL,NULL,276,NULL,0,0,0,#NAME?,Jul,Sun,1,7/7/2024
7/6/2024,1:18:00 AM,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,NULL,NULL,No,NULL,296,UPI,5,4,4,#NAME?,Jul,Sat,0,7/6/2024
7/4/2024,3:32:00 PM,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,NULL,NULL,NULL,NULL,NULL,NULL,1310,NULL,0,0,0,#NAME?,Jul,Thu,1,7/4/2024
7/26/2024,5:17:00 PM,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,NULL,NULL,AC is Not working,NULL,NULL,NULL,771,NULL,0,0,0,#NAME?,Jul,Fri,1,7/26/2024
7/1/2024,2:55:00 AM,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,NULL,NULL,No,NULL,279,Cash,43,4.3,3,#NAME?,Jul,Mon,0,7/1/2024
7/22/2024,4:24:00 PM,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,NULL,NULL,No,NULL,321,Cash,39,3.3,5,#NAME?,Jul,Mon,0,7/22/2024
7/21/2024,7:56:00 PM,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,NULL,NULL,No,NULL,457,Cash,1,4.1,3,#NAME?,Jul,Sun,0,7/21/2024
7/5/2024,1:55:00 PM,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,NULL,NULL,No,NULL,139,Cash,45,4.9,4,#NAME?,Jul,Fri,0,7/5/2024
7/29/2024,7:40:00 PM,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,NULL,NULL,Yes,Customer Demand,685,UPI,7,4.1,5,#NAME?,Jul,Mon,0,7/29/2024
7/15/2024,9:19:00 PM,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,NULL,NULL,NULL,More than permitted people in there,NULL,NULL,150,NULL,0,0,0,#NAME?,Jul,Mon,1,7/15/2024
7/16/2024,1:15:00 PM,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,NULL,NULL,No,NULL,196,UPI,21,4.3,3,#NAME?,Jul,Tue,0,7/16/2024
7/14/2024,11:37:00 AM,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,424,NULL,0,0,0,#NAME?,Jul,Sun,1,7/14/2024
7/11/2024,9:40:00 PM,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,NULL,NULL,NULL,More than permitted people in there,NULL,NULL,827,NULL,0,0,0,#NAME?,Jul,Thu,1,7/11/2024
7/14/2024,4:15:00 AM,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,NULL,NULL,No,NULL,770,Cash,27,3.3,4,#NAME?,Jul,Sun,0,7/14/2024
7/17/2024,7:30:00 AM,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,NULL,NULL,NULL,NULL,NULL,NULL,325,NULL,0,0,0,#NAME?,Jul,Wed,1,7/17/2024
7/4/2024,2:43:00 PM,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,NULL,NULL,No,NULL,986,Cash,18,4.6,5,#NAME?,Jul,Thu,0,7/4/2024
7/29/2024,2:56:00 PM,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,NULL,NULL,No,NULL,2208,Cash,40,4,4,#NAME?,Jul,Mon,0,7/29/2024
7/17/2024,7:55:00 PM,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,NULL,NULL,No,NULL,1695,UPI,20,4.5,5,#NAME?,Jul,Wed,0,7/17/2024
7/20/2024,10:58:00 AM,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,NULL,NULL,NULL,Customer related issue,NULL,NULL,305,NULL,0,0,0,#NAME?,Jul,Sat,1,7/20/2024
7/8/2024,9:18:00 AM,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,NULL,NULL,No,NULL,2271,Cash,37,3.4,4,#NAME?,Jul,Mon,0,7/8/2024
7/7/2024,1:31:00 AM,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,NULL,NULL,No,NULL,240,UPI,4,4,5,#NAME?,Jul,Sun,0,7/7/2024
7/30/2024,1:20:00 AM,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,NULL,NULL,No,NULL,482,Cash,37,4.4,4,#NAME?,Jul,Tue,0,7/30/2024
7/3/2024,11:25:00 AM,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,NULL,NULL,No,NULL,536,UPI,17,3.9,4,#NAME?,Jul,Wed,0,7/3/2024
7/11/2024,10:44:00 AM,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,NULL,NULL,No,NULL,188,UPI,37,4.9,4,#NAME?,Jul,Thu,0,7/11/2024
7/22/2024,6:17:00 PM,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,NULL,NULL,NULL,Customer related issue,NULL,NULL,202,NULL,0,0,0,#NAME?,Jul,Mon,1,7/22/2024
7/21/2024,6:54:00 AM,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,NULL,NULL,NULL,Customer related issue,NULL,NULL,1609,NULL,0,0,0,#NAME?,Jul,Sun,1,7/21/2024
7/22/2024,12:21:00 AM,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,NULL,NULL,NULL,Personal & Car related issue,NULL,NULL,1821,NULL,0,0,0,#NAME?,Jul,Mon,1,7/22/2024
7/26/2024,9:39:00 AM,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,NULL,NULL,No,NULL,415,UPI,22,3.6,3,#NAME?,Jul,Fri,0,7/26/2024
7/26/2024,6:06:00 AM,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,NULL,NULL,No,NULL,2125,UPI,6,3.8,5,#NAME?,Jul,Fri,0,7/26/2024
7/3/2024,3:04:00 PM,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,NULL,NULL,NULL,Customer related issue,NULL,NULL,758,NULL,0,0,0,#NAME?,Jul,Wed,1,7/3/2024
7/7/2024,9:55:00 AM,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,NULL,NULL,NULL,NULL,NULL,NULL,653,NULL,0,0,0,#NAME?,Jul,Sun,1,7/7/2024
7/22/2024,12:51:00 PM,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,NULL,NULL,Yes,Other Issue,704,Cash,42,4.7,5,#NAME?,Jul,Mon,0,7/22/2024
7/19/2024,4:48:00 AM,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,NULL,NULL,No,NULL,385,Cash,19,4.1,4,#NAME?,Jul,Fri,0,7/19/2024
7/1/2024,5:03:00 AM,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,NULL,NULL,No,NULL,934,UPI,12,3.3,5,#NAME?,Jul,Mon,0,7/1/2024
7/23/2024,4:01:00 AM,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,NULL,NULL,NULL,Customer related issue,NULL,NULL,615,NULL,0,0,0,#NAME?,Jul,Tue,1,7/23/2024
7/26/2024,8:22:00 AM,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,NULL,NULL,No,NULL,2202,Cash,44,4.7,3,#NAME?,Jul,Fri,0,7/26/2024
7/5/2024,12:36:00 PM,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,NULL,NULL,No,NULL,205,Cash,43,4.1,3,#NAME?,Jul,Fri,0,7/5/2024
7/18/2024,7:21:00 AM,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,NULL,NULL,Driver asked to cancel,NULL,NULL,NULL,513,NULL,0,0,0,#NAME?,Jul,Thu,1,7/18/2024
7/21/2024,8:21:00 AM,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,NULL,NULL,No,NULL,247,Cash,8,3.1,3,#NAME?,Jul,Sun,0,7/21/2024
7/13/2024,2:55:00 AM,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,NULL,NULL,Yes,Other Issue,558,UPI,41,3.2,3,#NAME?,Jul,Sat,0,7/13/2024
7/8/2024,7:56:00 AM,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,NULL,NULL,No,NULL,291,UPI,5,3.8,3,#NAME?,Jul,Mon,0,7/8/2024
7/22/2024,4:32:00 AM,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,NULL,NULL,No,NULL,925,Cash,22,3,4,#NAME?,Jul,Mon,0,7/22/2024
7/24/2024,9:58:00 PM,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,NULL,NULL,No,NULL,121,Cash,44,3.8,4,#NAME?,Jul,Wed,0,7/24/2024
7/21/2024,3:13:00 AM,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,NULL,NULL,NULL,NULL,NULL,NULL,404,NULL,0,0,0,#NAME?,Jul,Sun,1,7/21/2024
7/29/2024,12:44:00 PM,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,NULL,NULL,Change of plans,NULL,NULL,NULL,223,NULL,0,0,0,#NAME?,Jul,Mon,1,7/29/2024
7/15/2024,8:31:00 AM,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,NULL,NULL,NULL,NULL,NULL,NULL,2989,NULL,0,0,0,#NAME?,Jul,Mon,1,7/15/2024
7/1/2024,11:01:00 AM,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,NULL,NULL,No,NULL,728,Cash,14,4.3,5,#NAME?,Jul,Mon,0,7/1/2024
7/11/2024,10:50:00 AM,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,NULL,NULL,No,NULL,2416,UPI,49,3.1,4,#NAME?,Jul,Thu,0,7/11/2024
7/30/2024,10:02:00 AM,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,NULL,NULL,Driver is not moving towards pickup location,NULL,NULL,NULL,371,NULL,0,0,0,#NAME?,Jul,Tue,1,7/30/2024
7/7/2024,6:36:00 PM,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,NULL,NULL,No,NULL,258,Cash,32,4.7,4,#NAME?,Jul,Sun,0,7/7/2024
7/27/2024,11:48:00 PM,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,NULL,NULL,NULL,NULL,NULL,NULL,170,NULL,0,0,0,#NAME?,Jul,Sat,1,7/27/2024
7/16/2024,3:25:00 PM,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,NULL,NULL,Driver asked to cancel,NULL,NULL,NULL,151,NULL,0,0,0,#NAME?,Jul,Tue,1,7/16/2024
7/26/2024,9:02:00 PM,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,NULL,NULL,NULL,Customer related issue,NULL,NULL,425,NULL,0,0,0,#NAME?,Jul,Fri,1,7/26/2024
7/4/2024,3:31:00 AM,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,NULL,NULL,No,NULL,220,UPI,2,3.4,3,#NAME?,Jul,Thu,0,7/4/2024
7/16/2024,10:15:00 AM,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,NULL,NULL,No,NULL,472,UPI,16,3.3,4,#NAME?,Jul,Tue,0,7/16/2024
7/20/2024,10:27:00 PM,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,NULL,NULL,NULL,Customer related issue,NULL,NULL,616,NULL,0,0,0,#NAME?,Jul,Sat,1,7/20/2024
7/15/2024,9:20:00 AM,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,NULL,NULL,No,NULL,473,Cash,49,4,4,#NAME?,Jul,Mon,0,7/15/2024
7/4/2024,6:13:00 PM,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,NULL,NULL,No,NULL,259,Cash,11,4.8,4,#NAME?,Jul,Thu,0,7/4/2024
7/27/2024,11:58:00 AM,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,NULL,NULL,No,NULL,310,Credit Card,2,3.3,3,#NAME?,Jul,Sat,0,7/27/2024
